黑龙江联通,#genre#
霸州综合,http://101.31.56.40:4022/udp/239.253.93.209:6387
黄骅电视,http://101.31.56.40:4022/udp/239.253.92.183:6047
东光电视,http://101.31.56.40:4022/udp/239.253.93.96:6262
青县电视,http://101.31.56.40:4022/udp/239.253.93.139:6307
盐山电视,http://101.31.56.40:4022/udp/239.253.93.144:6312
南皮电视,http://101.31.56.40:4022/udp/239.253.93.149:6317
肃宁电视,http://101.31.56.40:4022/udp/239.253.93.152:6320
吴桥电视,http://101.31.56.40:4022/udp/239.253.93.169:6337
丰宁综合,http://101.31.56.40:4022/udp/239.253.93.210:6388
定兴电视,http://101.31.56.40:4022/udp/239.253.93.14:6167
阜平电视,http://101.31.56.40:4022/udp/239.253.93.16:6169
涞水电视,http://101.31.56.40:4022/udp/239.253.93.17:6170
满城电视,http://101.31.56.40:4022/udp/239.253.93.19:6172
涞源电视,http://101.31.56.40:4022/udp/239.253.93.22:6175
高碑店电视,http://101.31.56.40:4022/udp/239.253.93.23:6176
清苑电视,http://101.31.56.40:4022/udp/239.253.93.24:6177
涿州电视,http://101.31.56.40:4022/udp/239.253.93.27:6180
唐县电视,http://101.31.56.40:4022/udp/239.253.93.30:6183
曲阳电视,http://101.31.56.40:4022/udp/239.253.93.31:6184
望都电视,http://101.31.56.40:4022/udp/239.253.93.32:6185
定州电视,http://101.31.56.40:4022/udp/239.253.93.95:6260
高阳电视,http://101.31.56.40:4022/udp/239.253.93.105:6272
安新电视,http://101.31.56.40:4022/udp/239.253.93.107:6274
容城电视,http://101.31.56.40:4022/udp/239.253.93.110:6277
临城电视,http://101.31.56.40:4022/udp/239.253.93.167:6335
柏乡电视,http://101.31.56.40:4022/udp/239.253.93.171:6339
涿鹿电视,http://101.31.56.40:4022/udp/239.253.93.181:6349
徐水电视,http://101.31.56.40:4022/udp/239.253.93.182:6350
大名电视,http://101.31.56.40:4022/udp/239.253.93.186:6354
巨鹿电视,http://101.31.56.40:4022/udp/239.253.92.254:6449
临西电视,http://101.31.56.40:4022/udp/239.253.94.29:6628
冀州电视,http://101.31.56.40:4022/udp/239.253.93.34:6187
安平电视,http://101.31.56.40:4022/udp/239.253.93.36:6189
景县电视,http://101.31.56.40:4022/udp/239.253.93.38:6191
饶阳电视,http://101.31.56.40:4022/udp/239.253.93.40:6193
深州电视,http://101.31.56.40:4022/udp/239.253.93.42:6195
武强电视,http://101.31.56.40:4022/udp/239.253.93.79:6245
阜城电视,http://101.31.56.40:4022/udp/239.253.93.168:6336
故城电视,http://101.31.56.40:4022/udp/239.253.93.161:6329
枣强电视,http://101.31.56.40:4022/udp/239.253.93.166:6334
清河电视,http://101.31.56.40:4022/udp/239.253.93.44:6197
广宗电视,http://101.31.56.40:4022/udp/239.253.93.50:6203
武安电视,http://101.31.56.40:4022/udp/239.253.93.62:6215
宁晋电视,http://101.31.56.40:4022/udp/239.253.93.51:6204
平乡电视,http://101.31.56.40:4022/udp/239.253.93.53:6206
鸡泽电视,http://101.31.56.40:4022/udp/239.253.93.64:6219
隆尧电视,http://101.31.56.40:4022/udp/239.253.93.65:6230
广平电视,http://101.31.56.40:4022/udp/239.253.93.66:6231
南和电视,http://101.31.56.40:4022/udp/239.253.93.80:6246
临漳电视,http://101.31.56.40:4022/udp/239.253.93.84:6250
内丘电视,http://101.31.56.40:4022/udp/239.253.93.102:6268
涉县电视,http://101.31.56.40:4022/udp/239.253.93.106:6273
迁安电视,http://101.31.56.40:4022/udp/239.253.93.113:6280
馆陶电视,http://101.31.56.40:4022/udp/239.253.93.115:6282
乐亭电视,http://101.31.56.40:4022/udp/239.253.93.250:6290
沙河电视,http://101.31.56.40:4022/udp/239.253.93.179:6347
曲周电视,http://101.31.56.40:4022/udp/239.253.93.54:6207
南宫电视,http://101.31.56.40:4022/udp/239.253.93.48:6201
丰润电视,http://101.31.56.40:4022/udp/239.253.92.252:6156
4K频道,http://101.31.56.40:4022/udp/239.253.92.114:6187

河北卫视,http://60.4.3.178:8888/udp/239.253.92.154:6011
河北经济生活,http://60.4.3.178:8888/udp/239.253.92.171:6001
河北都市,http://60.4.3.178:8888/udp/239.253.92.172:6002
河北影视剧,http://60.4.3.178:8888/udp/239.253.92.173:6003
河北少儿科教,http://60.4.3.178:8888/udp/239.253.92.174:6004
河北公共,http://60.4.3.178:8888/udp/239.253.92.175:6005
河北农民,http://60.4.3.178:8888/udp/239.253.92.176:6006
睛彩河北,http://60.4.3.178:8888/udp/239.253.92.104:6221
石家庄综合,http://60.4.3.178:8888/udp/239.253.92.149:6035
石家庄娱乐,http://60.4.3.178:8888/udp/239.253.92.93:8120
石家庄生活,http://60.4.3.178:8888/udp/239.253.92.94:8121
石家庄都市,http://60.4.3.178:8888/udp/239.253.92.95:8122
承德新闻综合,http://60.4.3.178:8888/udp/239.253.92.222:8112
承德公共,http://60.4.3.178:8888/udp/239.253.92.223:8113
张家口新闻综合,http://60.4.3.178:8888/udp/239.253.92.225:8115
张家口公共,http://60.4.3.178:8888/udp/239.253.92.226:8116
秦皇岛新闻综合,http://60.4.3.178:8888/udp/239.253.92.52:6021
秦皇岛公共,http://60.4.3.178:8888/udp/239.253.92.53:6022
秦皇岛影视,http://60.4.3.178:8888/udp/239.253.92.54:6023
唐山新闻综合,http://60.4.3.178:8888/udp/239.253.92.245:6089
唐山生活服务,http://60.4.3.178:8888/udp/239.253.92.126:6026
唐山影视,http://60.4.3.178:8888/udp/239.253.92.127:6027
唐山公共,http://60.4.3.178:8888/udp/239.253.92.128:6028
廊坊新闻,http://60.4.3.178:8888/udp/239.253.92.164:6036
廊坊公共,http://60.4.3.178:8888/udp/239.253.92.166:6037
沧州新闻综合,http://60.4.3.178:8888/udp/239.253.92.121:6015
沧州公共,http://60.4.3.178:8888/udp/239.253.92.122:6016
沧州影视娱乐,http://60.4.3.178:8888/udp/239.253.92.123:6017
保定新闻综合,http://60.4.3.178:8888/udp/239.253.93.2:6153
保定公共频道,http://60.4.3.178:8888/udp/239.253.93.4:6157
保定生活健康,http://60.4.3.178:8888/udp/239.253.93.5:6158
衡水新闻综合,http://60.4.3.178:8888/udp/239.253.93.3:6154
衡水公共,http://60.4.3.178:8888/udp/239.253.93.7:6160
邢台综合,http://60.4.3.178:8888/udp/239.253.93.8:6161
邢台城市生活,http://60.4.3.178:8888/udp/239.253.93.10:6163
邯郸新闻综合,http://60.4.3.178:8888/udp/239.253.93.11:6164
邯郸公共,http://60.4.3.178:8888/udp/239.253.93.12:6165
邯郸科技教育,http://60.4.3.178:8888/udp/239.253.93.13:6166
元氏电视,http://60.4.3.178:8888/udp/239.253.92.142:6040
无极电视,http://60.4.3.178:8888/udp/239.253.92.138:6222
高邑电视,http://60.4.3.178:8888/udp/239.253.92.160:6041
栾城电视,http://60.4.3.178:8888/udp/239.253.92.187:6051
井陉矿区电视,http://60.4.3.178:8888/udp/239.253.92.215:6067
赞皇电视,http://60.4.3.178:8888/udp/239.253.92.12:6042
深泽电视,http://60.4.3.178:8888/udp/239.253.94.31:6630
赵县电视,http://60.4.3.178:8888/udp/239.253.93.140:6308
晋州电视,http://60.4.3.178:8888/udp/239.253.93.156:6324
井陉电视,http://60.4.3.178:8888/udp/239.253.93.205:6383
平泉电视,http://60.4.3.178:8888/udp/239.253.92.156:6012
滦平电视,http://60.4.3.178:8888/udp/239.253.92.100:6142
双滦电视,http://60.4.3.178:8888/udp/239.253.92.147:6224
兴隆电视,http://60.4.3.178:8888/udp/239.253.93.104:6271
隆化电视,http://60.4.3.178:8888/udp/239.253.93.174:6342
承德电视,http://60.4.3.178:8888/udp/239.253.94.28:6627
宽城新闻,http://60.4.3.178:8888/udp/239.253.93.117:6019
任县电视,http://60.4.3.178:8888/udp/239.253.93.145:6313
邯山电视,http://60.4.3.178:8888/udp/239.253.93.146:6314
崇礼电视,http://60.4.3.178:8888/udp/239.253.93.147:6315
顺平电视,http://60.4.3.178:8888/udp/239.253.93.148:6316
张北电视,http://60.4.3.178:8888/udp/239.253.93.159:6327
尚义电视,http://60.4.3.178:8888/udp/239.253.93.163:6331
邱县电视,http://60.4.3.178:8888/udp/239.253.93.158:6326
赤城电视,http://60.4.3.178:8888/udp/239.253.93.160:6328
康保电视,http://60.4.3.178:8888/udp/239.253.93.165:6333
遵化电视,http://60.4.3.178:8888/udp/239.253.93.177:6345
昌黎电视,http://60.4.3.178:8888/udp/239.253.92.109:6217
抚宁电视,http://60.4.3.178:8888/udp/239.253.93.201:6379
卢龙电视,http://60.4.3.178:8888/udp/239.253.93.206:6384
丰南电视,http://60.4.3.178:8888/udp/239.253.92.231:6070
迁西电视,http://60.4.3.178:8888/udp/239.253.92.247:6091
滦南电视,http://60.4.3.178:8888/udp/239.253.92.218:6100
玉田电视,http://60.4.3.178:8888/udp/239.253.92.118:6133
滦州电视,http://60.4.3.178:8888/udp/239.253.92.97:6138
香河电视,http://60.4.3.178:8888/udp/239.253.92.185:6049
大城电视,http://60.4.3.178:8888/udp/239.253.92.230:6068
大厂电视,http://60.4.3.178:8888/udp/239.253.92.253:6244
固安电视,http://60.4.3.178:8888/udp/239.253.93.109:6276
文安电视,http://60.4.3.178:8888/udp/239.253.93.111:6278
三河电视,http://60.4.3.178:8888/udp/239.253.93.143:6311
永清电视,http://60.4.3.178:8888/udp/239.253.93.172:6340
成安电视,http://60.4.3.178:8888/udp/239.253.93.178:6346
魏县电视,http://60.4.3.178:8888/udp/239.253.93.185:6353
霸州综合,http://60.4.3.178:8888/udp/239.253.93.209:6387
黄骅电视,http://60.4.3.178:8888/udp/239.253.92.183:6047
东光电视,http://60.4.3.178:8888/udp/239.253.93.96:6262
青县电视,http://60.4.3.178:8888/udp/239.253.93.139:6307
盐山电视,http://60.4.3.178:8888/udp/239.253.93.144:6312
南皮电视,http://60.4.3.178:8888/udp/239.253.93.149:6317
肃宁电视,http://60.4.3.178:8888/udp/239.253.93.152:6320
吴桥电视,http://60.4.3.178:8888/udp/239.253.93.169:6337
丰宁综合,http://60.4.3.178:8888/udp/239.253.93.210:6388
定兴电视,http://60.4.3.178:8888/udp/239.253.93.14:6167
阜平电视,http://60.4.3.178:8888/udp/239.253.93.16:6169
涞水电视,http://60.4.3.178:8888/udp/239.253.93.17:6170
满城电视,http://60.4.3.178:8888/udp/239.253.93.19:6172
涞源电视,http://60.4.3.178:8888/udp/239.253.93.22:6175
高碑店电视,http://60.4.3.178:8888/udp/239.253.93.23:6176
清苑电视,http://60.4.3.178:8888/udp/239.253.93.24:6177
涿州电视,http://60.4.3.178:8888/udp/239.253.93.27:6180
唐县电视,http://60.4.3.178:8888/udp/239.253.93.30:6183
曲阳电视,http://60.4.3.178:8888/udp/239.253.93.31:6184
望都电视,http://60.4.3.178:8888/udp/239.253.93.32:6185
定州电视,http://60.4.3.178:8888/udp/239.253.93.95:6260
高阳电视,http://60.4.3.178:8888/udp/239.253.93.105:6272
安新电视,http://60.4.3.178:8888/udp/239.253.93.107:6274
容城电视,http://60.4.3.178:8888/udp/239.253.93.110:6277
临城电视,http://60.4.3.178:8888/udp/239.253.93.167:6335
柏乡电视,http://60.4.3.178:8888/udp/239.253.93.171:6339
涿鹿电视,http://60.4.3.178:8888/udp/239.253.93.181:6349
徐水电视,http://60.4.3.178:8888/udp/239.253.93.182:6350
大名电视,http://60.4.3.178:8888/udp/239.253.93.186:6354
巨鹿电视,http://60.4.3.178:8888/udp/239.253.92.254:6449
临西电视,http://60.4.3.178:8888/udp/239.253.94.29:6628
冀州电视,http://60.4.3.178:8888/udp/239.253.93.34:6187
安平电视,http://60.4.3.178:8888/udp/239.253.93.36:6189
景县电视,http://60.4.3.178:8888/udp/239.253.93.38:6191
饶阳电视,http://60.4.3.178:8888/udp/239.253.93.40:6193
深州电视,http://60.4.3.178:8888/udp/239.253.93.42:6195
武强电视,http://60.4.3.178:8888/udp/239.253.93.79:6245
阜城电视,http://60.4.3.178:8888/udp/239.253.93.168:6336
故城电视,http://60.4.3.178:8888/udp/239.253.93.161:6329
枣强电视,http://60.4.3.178:8888/udp/239.253.93.166:6334
清河电视,http://60.4.3.178:8888/udp/239.253.93.44:6197
广宗电视,http://60.4.3.178:8888/udp/239.253.93.50:6203
武安电视,http://60.4.3.178:8888/udp/239.253.93.62:6215
宁晋电视,http://60.4.3.178:8888/udp/239.253.93.51:6204
平乡电视,http://60.4.3.178:8888/udp/239.253.93.53:6206
鸡泽电视,http://60.4.3.178:8888/udp/239.253.93.64:6219
隆尧电视,http://60.4.3.178:8888/udp/239.253.93.65:6230
广平电视,http://60.4.3.178:8888/udp/239.253.93.66:6231
南和电视,http://60.4.3.178:8888/udp/239.253.93.80:6246
临漳电视,http://60.4.3.178:8888/udp/239.253.93.84:6250
内丘电视,http://60.4.3.178:8888/udp/239.253.93.102:6268
涉县电视,http://60.4.3.178:8888/udp/239.253.93.106:6273
迁安电视,http://60.4.3.178:8888/udp/239.253.93.113:6280
馆陶电视,http://60.4.3.178:8888/udp/239.253.93.115:6282
乐亭电视,http://60.4.3.178:8888/udp/239.253.93.250:6290
沙河电视,http://60.4.3.178:8888/udp/239.253.93.179:6347
曲周电视,http://60.4.3.178:8888/udp/239.253.93.54:6207
南宫电视,http://60.4.3.178:8888/udp/239.253.93.48:6201
丰润电视,http://60.4.3.178:8888/udp/239.253.92.252:6156
4K频道,http://60.4.3.178:8888/udp/239.253.92.114:6187

河北卫视,http://121.29.111.205:8888/udp/239.253.92.154:6011
河北经济生活,http://121.29.111.205:8888/udp/239.253.92.171:6001
河北都市,http://121.29.111.205:8888/udp/239.253.92.172:6002
河北影视剧,http://121.29.111.205:8888/udp/239.253.92.173:6003
河北少儿科教,http://121.29.111.205:8888/udp/239.253.92.174:6004
河北公共,http://121.29.111.205:8888/udp/239.253.92.175:6005
河北农民,http://121.29.111.205:8888/udp/239.253.92.176:6006
睛彩河北,http://121.29.111.205:8888/udp/239.253.92.104:6221
石家庄综合,http://121.29.111.205:8888/udp/239.253.92.149:6035
石家庄娱乐,http://121.29.111.205:8888/udp/239.253.92.93:8120
石家庄生活,http://121.29.111.205:8888/udp/239.253.92.94:8121
石家庄都市,http://121.29.111.205:8888/udp/239.253.92.95:8122
承德新闻综合,http://121.29.111.205:8888/udp/239.253.92.222:8112
承德公共,http://121.29.111.205:8888/udp/239.253.92.223:8113
张家口新闻综合,http://121.29.111.205:8888/udp/239.253.92.225:8115
张家口公共,http://121.29.111.205:8888/udp/239.253.92.226:8116
秦皇岛新闻综合,http://121.29.111.205:8888/udp/239.253.92.52:6021
秦皇岛公共,http://121.29.111.205:8888/udp/239.253.92.53:6022
秦皇岛影视,http://121.29.111.205:8888/udp/239.253.92.54:6023
唐山新闻综合,http://121.29.111.205:8888/udp/239.253.92.245:6089
唐山生活服务,http://121.29.111.205:8888/udp/239.253.92.126:6026
唐山影视,http://121.29.111.205:8888/udp/239.253.92.127:6027
唐山公共,http://121.29.111.205:8888/udp/239.253.92.128:6028
廊坊新闻,http://121.29.111.205:8888/udp/239.253.92.164:6036
廊坊公共,http://121.29.111.205:8888/udp/239.253.92.166:6037
沧州新闻综合,http://121.29.111.205:8888/udp/239.253.92.121:6015
沧州公共,http://121.29.111.205:8888/udp/239.253.92.122:6016
沧州影视娱乐,http://121.29.111.205:8888/udp/239.253.92.123:6017
保定新闻综合,http://121.29.111.205:8888/udp/239.253.93.2:6153
保定公共频道,http://121.29.111.205:8888/udp/239.253.93.4:6157
保定生活健康,http://121.29.111.205:8888/udp/239.253.93.5:6158
衡水新闻综合,http://121.29.111.205:8888/udp/239.253.93.3:6154
衡水公共,http://121.29.111.205:8888/udp/239.253.93.7:6160
邢台综合,http://121.29.111.205:8888/udp/239.253.93.8:6161
邢台城市生活,http://121.29.111.205:8888/udp/239.253.93.10:6163
邯郸新闻综合,http://121.29.111.205:8888/udp/239.253.93.11:6164
邯郸公共,http://121.29.111.205:8888/udp/239.253.93.12:6165
邯郸科技教育,http://121.29.111.205:8888/udp/239.253.93.13:6166
元氏电视,http://121.29.111.205:8888/udp/239.253.92.142:6040
无极电视,http://121.29.111.205:8888/udp/239.253.92.138:6222
高邑电视,http://121.29.111.205:8888/udp/239.253.92.160:6041
栾城电视,http://121.29.111.205:8888/udp/239.253.92.187:6051
井陉矿区电视,http://121.29.111.205:8888/udp/239.253.92.215:6067
赞皇电视,http://121.29.111.205:8888/udp/239.253.92.12:6042
深泽电视,http://121.29.111.205:8888/udp/239.253.94.31:6630
赵县电视,http://121.29.111.205:8888/udp/239.253.93.140:6308
晋州电视,http://121.29.111.205:8888/udp/239.253.93.156:6324
井陉电视,http://121.29.111.205:8888/udp/239.253.93.205:6383
平泉电视,http://121.29.111.205:8888/udp/239.253.92.156:6012
滦平电视,http://121.29.111.205:8888/udp/239.253.92.100:6142
双滦电视,http://121.29.111.205:8888/udp/239.253.92.147:6224
兴隆电视,http://121.29.111.205:8888/udp/239.253.93.104:6271
隆化电视,http://121.29.111.205:8888/udp/239.253.93.174:6342
承德电视,http://121.29.111.205:8888/udp/239.253.94.28:6627
宽城新闻,http://121.29.111.205:8888/udp/239.253.93.117:6019
任县电视,http://121.29.111.205:8888/udp/239.253.93.145:6313
邯山电视,http://121.29.111.205:8888/udp/239.253.93.146:6314
崇礼电视,http://121.29.111.205:8888/udp/239.253.93.147:6315
顺平电视,http://121.29.111.205:8888/udp/239.253.93.148:6316
张北电视,http://121.29.111.205:8888/udp/239.253.93.159:6327
尚义电视,http://121.29.111.205:8888/udp/239.253.93.163:6331
邱县电视,http://121.29.111.205:8888/udp/239.253.93.158:6326
赤城电视,http://121.29.111.205:8888/udp/239.253.93.160:6328
康保电视,http://121.29.111.205:8888/udp/239.253.93.165:6333
遵化电视,http://121.29.111.205:8888/udp/239.253.93.177:6345
昌黎电视,http://121.29.111.205:8888/udp/239.253.92.109:6217
抚宁电视,http://121.29.111.205:8888/udp/239.253.93.201:6379
卢龙电视,http://121.29.111.205:8888/udp/239.253.93.206:6384
丰南电视,http://121.29.111.205:8888/udp/239.253.92.231:6070
迁西电视,http://121.29.111.205:8888/udp/239.253.92.247:6091
滦南电视,http://121.29.111.205:8888/udp/239.253.92.218:6100
玉田电视,http://121.29.111.205:8888/udp/239.253.92.118:6133
滦州电视,http://121.29.111.205:8888/udp/239.253.92.97:6138
香河电视,http://121.29.111.205:8888/udp/239.253.92.185:6049
大城电视,http://121.29.111.205:8888/udp/239.253.92.230:6068
大厂电视,http://121.29.111.205:8888/udp/239.253.92.253:6244
固安电视,http://121.29.111.205:8888/udp/239.253.93.109:6276
文安电视,http://121.29.111.205:8888/udp/239.253.93.111:6278
三河电视,http://121.29.111.205:8888/udp/239.253.93.143:6311
永清电视,http://121.29.111.205:8888/udp/239.253.93.172:6340
成安电视,http://121.29.111.205:8888/udp/239.253.93.178:6346
魏县电视,http://121.29.111.205:8888/udp/239.253.93.185:6353
霸州综合,http://121.29.111.205:8888/udp/239.253.93.209:6387
黄骅电视,http://121.29.111.205:8888/udp/239.253.92.183:6047
东光电视,http://121.29.111.205:8888/udp/239.253.93.96:6262
青县电视,http://121.29.111.205:8888/udp/239.253.93.139:6307
盐山电视,http://121.29.111.205:8888/udp/239.253.93.144:6312
南皮电视,http://121.29.111.205:8888/udp/239.253.93.149:6317
肃宁电视,http://121.29.111.205:8888/udp/239.253.93.152:6320
吴桥电视,http://121.29.111.205:8888/udp/239.253.93.169:6337
丰宁综合,http://121.29.111.205:8888/udp/239.253.93.210:6388
定兴电视,http://121.29.111.205:8888/udp/239.253.93.14:6167
阜平电视,http://121.29.111.205:8888/udp/239.253.93.16:6169
涞水电视,http://121.29.111.205:8888/udp/239.253.93.17:6170
满城电视,http://121.29.111.205:8888/udp/239.253.93.19:6172
涞源电视,http://121.29.111.205:8888/udp/239.253.93.22:6175
高碑店电视,http://121.29.111.205:8888/udp/239.253.93.23:6176
清苑电视,http://121.29.111.205:8888/udp/239.253.93.24:6177
涿州电视,http://121.29.111.205:8888/udp/239.253.93.27:6180
唐县电视,http://121.29.111.205:8888/udp/239.253.93.30:6183
曲阳电视,http://121.29.111.205:8888/udp/239.253.93.31:6184
望都电视,http://121.29.111.205:8888/udp/239.253.93.32:6185
定州电视,http://121.29.111.205:8888/udp/239.253.93.95:6260
高阳电视,http://121.29.111.205:8888/udp/239.253.93.105:6272
安新电视,http://121.29.111.205:8888/udp/239.253.93.107:6274
容城电视,http://121.29.111.205:8888/udp/239.253.93.110:6277
临城电视,http://121.29.111.205:8888/udp/239.253.93.167:6335
柏乡电视,http://121.29.111.205:8888/udp/239.253.93.171:6339
涿鹿电视,http://121.29.111.205:8888/udp/239.253.93.181:6349
徐水电视,http://121.29.111.205:8888/udp/239.253.93.182:6350
大名电视,http://121.29.111.205:8888/udp/239.253.93.186:6354
巨鹿电视,http://121.29.111.205:8888/udp/239.253.92.254:6449
临西电视,http://121.29.111.205:8888/udp/239.253.94.29:6628
冀州电视,http://121.29.111.205:8888/udp/239.253.93.34:6187
安平电视,http://121.29.111.205:8888/udp/239.253.93.36:6189
景县电视,http://121.29.111.205:8888/udp/239.253.93.38:6191
饶阳电视,http://121.29.111.205:8888/udp/239.253.93.40:6193
深州电视,http://121.29.111.205:8888/udp/239.253.93.42:6195
武强电视,http://121.29.111.205:8888/udp/239.253.93.79:6245
阜城电视,http://121.29.111.205:8888/udp/239.253.93.168:6336
故城电视,http://121.29.111.205:8888/udp/239.253.93.161:6329
枣强电视,http://121.29.111.205:8888/udp/239.253.93.166:6334
清河电视,http://121.29.111.205:8888/udp/239.253.93.44:6197
广宗电视,http://121.29.111.205:8888/udp/239.253.93.50:6203
武安电视,http://121.29.111.205:8888/udp/239.253.93.62:6215
宁晋电视,http://121.29.111.205:8888/udp/239.253.93.51:6204
平乡电视,http://121.29.111.205:8888/udp/239.253.93.53:6206
鸡泽电视,http://121.29.111.205:8888/udp/239.253.93.64:6219
隆尧电视,http://121.29.111.205:8888/udp/239.253.93.65:6230
广平电视,http://121.29.111.205:8888/udp/239.253.93.66:6231
南和电视,http://121.29.111.205:8888/udp/239.253.93.80:6246
临漳电视,http://121.29.111.205:8888/udp/239.253.93.84:6250
内丘电视,http://121.29.111.205:8888/udp/239.253.93.102:6268
涉县电视,http://121.29.111.205:8888/udp/239.253.93.106:6273
迁安电视,http://121.29.111.205:8888/udp/239.253.93.113:6280
馆陶电视,http://121.29.111.205:8888/udp/239.253.93.115:6282
乐亭电视,http://121.29.111.205:8888/udp/239.253.93.250:6290
沙河电视,http://121.29.111.205:8888/udp/239.253.93.179:6347
曲周电视,http://121.29.111.205:8888/udp/239.253.93.54:6207
南宫电视,http://121.29.111.205:8888/udp/239.253.93.48:6201
丰润电视,http://121.29.111.205:8888/udp/239.253.92.252:6156
4K频道,http://121.29.111.205:8888/udp/239.253.92.114:6187



福建电信,#genre#
福建综合,http://27.158.23.122:9999/udp/239.61.3.4:9542
东南卫视,http://27.158.23.122:9999/udp/239.61.2.132:8708
福建公共频道,http://27.158.23.122:9999/udp/239.61.2.3:8012
福建新闻,http://27.158.23.122:9999/udp/239.61.2.4:8018
福建电视剧,http://27.158.23.122:9999/udp/239.61.2.5:8024
福建旅游,http://27.158.23.122:9999/udp/239.61.2.6:8030
福建经济生活,http://27.158.23.122:9999/udp/239.61.2.7:8036
福建体育,http://27.158.23.122:9999/udp/239.61.2.160:8948
福建少儿,http://27.158.23.122:9999/udp/239.61.2.9:8048
海峡卫视,http://27.158.23.122:9999/udp/239.61.2.151:8894
福建教育频道,http://27.158.23.122:9999/udp/239.61.2.173:9026
厦门1套,http://27.158.23.122:9999/udp/239.61.3.55:9848
厦门2套,http://27.158.23.122:9999/udp/239.61.3.56:9854



江苏电信,#genre#
江苏卫视,http://114.230.190.227:8600/udp/239.49.0.16:8120
江苏城市,http://114.230.190.227:8600/udp/239.49.0.17:8128
江苏综艺,http://114.230.190.227:8600/udp/239.49.0.18:8136
江苏体育休闲,http://114.230.190.227:8600/udp/239.49.0.19:8144
江苏影视,http://114.230.190.227:8600/udp/239.49.0.20:8152
优漫卡通,http://114.230.190.227:8600/udp/239.49.0.21:8160
江苏新闻,http://114.230.190.227:8600/udp/239.49.0.149:9186
江苏国际,http://114.230.190.227:8600/udp/239.49.0.22:8168
江苏教育,http://114.230.190.227:8600/udp/239.49.0.23:8176
财富天下,http://114.230.190.227:8600/udp/239.49.0.166:9322
江苏卫视HD,http://114.230.190.227:8600/udp/239.49.8.16:9602
江苏城市HD,http://114.230.190.227:8600/udp/239.49.8.107:8000
江苏综艺HD,http://114.230.190.227:8600/udp/239.49.8.108:8000
江苏体育休闲HD,http://114.230.190.227:8600/udp/239.49.8.117:8000
江苏影视HD,http://114.230.190.227:8600/udp/239.49.8.118:8000
优漫卡通HD,http://114.230.190.227:8600/udp/239.49.8.119:8000
江苏教育HD,http://114.230.190.227:8600/udp/239.49.8.122:8000
江苏新闻HD,http://114.230.190.227:8600/udp/239.49.8.120:8000

江苏卫视,http://218.94.98.229:10001/udp/239.49.0.16:8120
江苏城市,http://218.94.98.229:10001/udp/239.49.0.17:8128
江苏综艺,http://218.94.98.229:10001/udp/239.49.0.18:8136
江苏体育休闲,http://218.94.98.229:10001/udp/239.49.0.19:8144
江苏影视,http://218.94.98.229:10001/udp/239.49.0.20:8152
优漫卡通,http://218.94.98.229:10001/udp/239.49.0.21:8160
江苏新闻,http://218.94.98.229:10001/udp/239.49.0.149:9186
江苏国际,http://218.94.98.229:10001/udp/239.49.0.22:8168
江苏教育,http://218.94.98.229:10001/udp/239.49.0.23:8176
财富天下,http://218.94.98.229:10001/udp/239.49.0.166:9322
江苏卫视HD,http://218.94.98.229:10001/udp/239.49.8.16:9602
江苏城市HD,http://218.94.98.229:10001/udp/239.49.8.107:8000
江苏综艺HD,http://218.94.98.229:10001/udp/239.49.8.108:8000
江苏体育休闲HD,http://218.94.98.229:10001/udp/239.49.8.117:8000
江苏影视HD,http://218.94.98.229:10001/udp/239.49.8.118:8000
优漫卡通HD,http://218.94.98.229:10001/udp/239.49.8.119:8000
江苏教育HD,http://218.94.98.229:10001/udp/239.49.8.122:8000
江苏新闻HD,http://218.94.98.229:10001/udp/239.49.8.120:8000

江苏卫视,http://58.208.3.53:8888/udp/239.49.0.16:8120
江苏城市,http://58.208.3.53:8888/udp/239.49.0.17:8128
江苏综艺,http://58.208.3.53:8888/udp/239.49.0.18:8136
江苏体育休闲,http://58.208.3.53:8888/udp/239.49.0.19:8144
江苏影视,http://58.208.3.53:8888/udp/239.49.0.20:8152
优漫卡通,http://58.208.3.53:8888/udp/239.49.0.21:8160
江苏新闻,http://58.208.3.53:8888/udp/239.49.0.149:9186
江苏国际,http://58.208.3.53:8888/udp/239.49.0.22:8168
江苏教育,http://58.208.3.53:8888/udp/239.49.0.23:8176
财富天下,http://58.208.3.53:8888/udp/239.49.0.166:9322
江苏卫视HD,http://58.208.3.53:8888/udp/239.49.8.16:9602
江苏城市HD,http://58.208.3.53:8888/udp/239.49.8.107:8000
江苏综艺HD,http://58.208.3.53:8888/udp/239.49.8.108:8000
江苏体育休闲HD,http://58.208.3.53:8888/udp/239.49.8.117:8000
江苏影视HD,http://58.208.3.53:8888/udp/239.49.8.118:8000
优漫卡通HD,http://58.208.3.53:8888/udp/239.49.8.119:8000
江苏教育HD,http://58.208.3.53:8888/udp/239.49.8.122:8000
江苏新闻HD,http://58.208.3.53:8888/udp/239.49.8.120:8000



河南联通,#genre#
河南卫视4K,http://125.46.132.151:9999/udp/225.1.4.254:1300
河南都市,http://125.46.132.151:9999/udp/225.1.4.52:1081
河南民生,http://125.46.132.151:9999/udp/225.1.4.53:1082
河南法治,http://125.46.132.151:9999/udp/225.1.4.54:1083
河南电视剧,http://125.46.132.151:9999/udp/225.1.4.55:1084
